id_artifact,date,quantity,price,username
66,2023-14-06,3,648,Andreane_Stamm21
42,30.14.2024,1,418,Hildegard_Tremblay
83,2024-14-20,3,834,Laura52
90,08.14.2024,1,886,Domenico_Krajcik
64,06.14.2023,2,360,Oral_Leannon31
35,2024-14-04,4,685,Thelma95
48,2023-14-15,4,581,Fatima37
6,19.14.2024,1,630,Alycia39
65,09.14.2024,1,414,Alysa28
42,2024-14-21,1,626,Jovany44
6,2024-14-23,1,848,Barrett_Marvin70
60,09.14.2024,2,868,Erwin_Wisoky
32,2024-14-23,3,692,Elaina_Heaney
81,12.14.2023,1,661,Merlin_Barton93
16,17.14.2023,1,314,Merlin_Barton93
37,10.14.2023,1,941,Alana65
90,2024-14-07,2,561,Selena64
28,2024-14-30,2,302,Ida.Blick
47,14.14.2024,1,685,Zoila.Zemlak42
89,22.14.2024,3,764,Alford98
33,2024-14-22,4,485,Rasheed59
10,27.14.2024,3,840,Woodrow.Ankunding
15,10.14.2024,4,367,Forest67
69,14.14.2023,3,704,Karina77
46,07.14.2024,2,834,Derick33
46,2024-14-14,2,936,Blaze61
100,17.14.2024,3,375,Sim0
88,2023-14-07,1,738,Ubaldo_Bahringer
24,23.14.2024,4,747,Clovis.Breitenberg88
18,2025-14-01,4,967,Elias.Pouros
42,27.14.2024,1,952,Rick.Prosacco13
91,2024-14-04,2,515,Lyda35
36,2024-14-16,2,550,Leopoldo71
83,25.14.2024,1,826,Keara_Batz43
15,2024-14-26,1,976,Fatima37
30,2024-14-30,4,552,Devonte_Runolfsdottir
20,05.14.2024,1,336,Herbert.Gerlach34
99,2023-14-14,2,417,Andreane_Stamm21
97,20.14.2024,2,501,Justyn.Ullrich
99,05.14.2024,3,352,Clovis.Breitenberg88
93,22.14.2023,2,865,Hardy_Marquardt23
53,11.14.2024,3,725,Merlin_Barton93
80,2024-14-17,1,982,Herbert.Gerlach34
87,30.14.2024,3,413,Antonina_Borer
51,2024-14-01,2,632,Rosemary.Herzog90
78,01.14.2023,4,310,Ricky.Welch
22,2023-14-14,4,819,Oran.Prosacco90
48,2025-14-17,4,869,Ida.Blick
